iter	Passed	Remaining
0	5	5822
1	9	4511
2	12	4147
3	17	4264
4	20	4086
5	22	3750
6	25	3658
7	29	3619
8	32	3587
9	37	3707
10	40	3682
11	44	3702
12	48	3667
13	51	3629
14	56	3703
15	60	3735
16	64	3712
17	67	3671
18	70	3633
19	75	3686
20	78	3670
21	82	3684
22	86	3669
23	90	3687
24	95	3730
25	99	3720
26	103	3718
27	106	3700
28	109	3676
29	113	3671
30	117	3667
31	121	3674
32	124	3652
33	128	3644
34	132	3654
35	136	3651
36	140	3644
37	143	3623
38	146	3604
39	149	3580
40	154	3605
41	157	3596
42	161	3590
43	164	3574
44	167	3562
45	172	3575
46	175	3565
47	180	3575
48	185	3591
49	188	3581
50	193	3592
51	196	3591
52	200	3591
53	204	3577
54	207	3566
55	211	3566
56	215	3566
57	219	3567
58	222	3555
59	226	3544
60	230	3555
61	234	3540
62	237	3537
63	241	3528
64	245	3525
65	248	3515
66	252	3512
67	255	3508
68	259	3500
69	262	3489
70	265	3478
71	269	3475
72	273	3472
73	277	3472
74	280	3463
75	283	3448
76	287	3440
77	290	3431
78	293	3417
79	295	3400
80	298	3389
81	301	3373
82	304	3358
83	307	3351
84	310	3346
85	314	3339
86	316	3325
87	319	3314
88	323	3306
89	326	3298
90	329	3293
91	332	3282
92	335	3269
93	337	3256
94	341	3249
95	346	3265
96	350	3265
97	354	3259
98	357	3253
99	361	3249
100	365	3249
101	368	3240
102	371	3238
103	375	3231
104	378	3226
105	381	3217
106	384	3211
107	387	3199
108	390	3188
109	394	3188
110	396	3179
111	400	3173
112	403	3163
113	406	3155
114	409	3151
115	412	3142
116	415	3134
117	418	3131
118	420	3115
119	425	3119
120	429	3117
121	433	3117
122	437	3116
123	441	3121
124	445	3118
125	451	3128
126	455	3132
127	462	3152
128	467	3154
129	470	3148
130	473	3142
131	477	3141
132	481	3137
133	484	3132
134	487	3125
135	490	3118
136	495	3119
137	498	3111
138	501	3105
139	504	3099
140	507	3091
141	510	3083
142	514	3080
143	516	3073
144	519	3065
145	522	3057
146	525	3050
147	528	3044
148	531	3037
149	534	3029
150	538	3025
151	540	3017
152	543	3010
153	546	3002
154	549	2997
155	552	2991
156	555	2984
157	559	2982
158	562	2974
159	565	2970
160	570	2970
161	573	2967
162	576	2959
163	579	2955
164	582	2947
165	585	2939
166	585	2922
167	588	2915
168	591	2908
169	595	2905
170	597	2897
171	600	2889
172	603	2883
173	606	2877
174	609	2873
175	612	2866
176	614	2858
177	617	2851
178	620	2844
179	622	2837
180	626	2834
181	629	2830
182	632	2825
183	635	2819
184	638	2813
185	642	2810
186	645	2805
187	648	2801
188	651	2795
189	654	2792
190	658	2788
191	661	2781
192	664	2776
193	666	2771
194	670	2767
195	673	2764
196	676	2758
197	679	2753
198	682	2747
199	686	2746
200	689	2740
201	692	2737
202	696	2732
203	699	2728
204	702	2726
205	705	2720
206	708	2714
207	711	2708
208	714	2703
209	718	2701
210	721	2697
211	724	2693
212	727	2688
213	731	2685
214	733	2679
215	737	2675
216	739	2669
217	742	2663
218	746	2663
219	750	2659
220	753	2654
221	756	2649
222	759	2645
223	762	2642
224	766	2638
225	768	2633
226	771	2628
227	774	2623
228	777	2619
229	781	2614
230	783	2609
231	786	2604
232	789	2599
233	792	2594
234	795	2588
235	797	2582
236	800	2577
237	803	2572
238	806	2567
239	809	2562
240	811	2556
241	814	2550
242	817	2545
243	819	2539
244	822	2534
245	825	2529
246	828	2524
247	830	2518
248	833	2513
249	836	2508
250	838	2503
251	841	2498
252	844	2492
253	846	2487
254	849	2482
255	852	2476
256	855	2471
257	857	2466
258	860	2460
259	862	2456
260	865	2451
261	868	2446
262	871	2441
263	873	2435
264	876	2430
265	878	2425
266	881	2420
267	884	2416
268	887	2410
269	890	2406
270	892	2401
271	895	2397
272	900	2397
273	903	2393
274	906	2389
275	909	2384
276	911	2380
277	914	2375
278	917	2370
279	920	2366
280	923	2362
281	926	2358
282	929	2353
283	932	2350
284	936	2348
285	938	2343
286	941	2339
287	944	2336
288	947	2331
289	950	2327
290	953	2323
291	956	2319
